company_id,company_name,employee_count,employee_count_low,n_sectors,sectors,n_divisions,divisions
10030358,Ulstrup Plast A/S,35,35,3,Plast-; Metalindustri; Elektronikindustri,3,Fremstilling af andre plastprodukter; Fremstilling af håndværktøj; Fremstilling af kommunikationsudstyr
10031117,EuroTechnic Støvring A/S,25,25,1,Fremst. af elektrisk udstyr,1,Fremstilling af andet elektrisk udstyr
10031648,Lægerne I Solbjerg I/S,12,12,1,Sundhedsvæsen,1,Alment praktiserende læger
10031656,Quilts of Denmark A/S,58,58,1,Tekstil- og læderindustri,1,Fremstilling af boligtekstiler
10032660,Holms Restaurant,NA,NA,1,Hoteller og restauranter,1,Restauranter
10033365,Vivostat A/S,9,9,1,Møbel- og anden industri mv.,1,Fremstilling af medicinske og dentale instrumenter samt udstyr hertil
10034159,Okono,NA,NA,1,Reklame og øvrige erhvervsservice,1,Andre liberale
10035651,DataComfort ApS,5,5,1,It- og informationstjenester,1,Databehandling
10038839,Pharmakon,124,124,2,Hoteller og restauranter; Undervisning,2,Konferencecentre og kursusejendomme; Tekniske skoler og fagskoler
10041686,Farum Skovbørnehave,2,2,1,Sociale institutioner,1,Børnehaver
10042518,Pilegaard-Henriksen A/S,51,51,1,Bygge og anlæg,1,VVS- og blikkenslagerforretninger
10044758,Jørs Biler ApS,12,12,1,Handel,1,Detailhandel med personbiler
10046165,Fonden Musik- og Teaterhuset  Silkeborg,42,42,3,Ejendomshandel og udlejning; Rejsebureauer  rengøring og anden operationel service; Kultur og fritid,3,Udlejning af erhvervsejendomme; Udlejning og leasing af andre varer til personlig brug og husholdningsbrug i.a.n.; Drift af teater- og koncertsale
10046769,Energi Viborg Kraftvarme A/S,9,9,1,Energiforsyning,1,Produktion af elektricitet
10047234,Flatirons Danmark A/S,4,4,1,It- og informationstjenester,1,Computerprogrammering
10047528,POWERCARE A/S,822,822,1,Rejsebureauer  rengøring og anden operationel service,1,Vikarbureauer
10047560,make:net a/s,66,66,1,Bygge og anlæg,1,El-installation
10047692,Driftsselskabet A/S TV-Syd,93,93,1,Forlag  tv og radio,1,Tv-virksomhed
10048265,NKT Photonics A/S,222,222,2,Elektronikindustri; Fremst. af elektrisk udstyr,2,Fremstilling af optiske instrumenter og fotografisk udstyr; Fremstilling af lyslederkabler
10049032,Villeroy & Boch Danmark A/S,15,15,1,Handel,3,Engroshandel med træ; Agenturhandel med møbler; Detailhandel med køkkenudstyr
10049385,Incuba A/S,18,18,1,Ejendomshandel og udlejning,1,Udlejning af erhvervsejendomme
10049628,Seggelund Cafeteria ApS,28,28,1,Hoteller og restauranter,1,Pizzeriaer
10049725,Befro Invest ApS,5,5,1,Handel,1,Ikke-specialiseret engroshandel
10049822,BG Anlægsteknik ApS,35,35,1,Bygge og anlæg,1,Anden bygge- og anlægsvirksomhed
10050154,PreSeed Ventures,18,18,1,Finansiering og forsikring,1,Ventureselskaber og kapitalfonde
10050715,GEA Process Engineering A/S,771,771,1,Maskinindustri,1,Fremstilling af maskiner til føde-
10053277,Skolefritidshjemmet på Skolen ved Sundet,2,2,1,Sociale institutioner,1,Skolefritidsordninger og fritidshjem
10054621,BM Autoteknik A/S,47,47,1,Elektronikindustri,1,Fremstilling af udstyr til måling
10057639,Sammenslutningen Af Danske Småøer,4,4,1,Andre serviceydelser  mv.,1,Andre organisationer og foreninger i.a.n.
10057752,Charlottenlund Udlejning ApS,7,7,2,Reklame og øvrige erhvervsservice; Rejsebureauer  rengøring og anden operationel service,2,Anden reklamevirksomhed; Udlejning og leasing af andet materiel
10059771,Billund Aquaculture,157,157,1,Møbel- og anden industri mv.,1,Installation af industrimaskiner og -udstyr
10059844,Olsen & Pedersen Stål A/S,38,38,2,Metalindustri; Møbel- og anden industri mv.,2,Fremstilling af metalkonstruktioner og dele heraf; Reparation af jern- og metalvarer
