job_id,skill
1037676,være-opmærksom
1037683,dansk
1037683,english
1037683,økonomi
1037683,business
1037683,regnskab
1037683,support
1037687,dansk
1037688,økonomi
1037688,kommunikation
1037688,energi
1037688,marketing
1037691,autisme
1037692,hydraulik
1037696,dansk
1037696,engelsk
1037696,energi
1037724,communication
1037724,business
1037724,analytics
1037724,marketing
1037724,finance
1037734,communication
1037734,english
1037734,business
1037734,design
1037734,marketing
1037734,collaboration
1037734,project-management
1037734,business-administration
1037734,robot
1037734,play
1037749,english
1037749,engineering
1037749,danish
1037749,business
1037749,design
1037749,3d
1037749,energy
1037749,topography
1037749,work-in-teams
1037754,english
1037754,business
1037754,software
1037754,energy
1037754,structural-engineering
1037761,kommunikation
1037761,personlig-udvikling
1037761,arbejde-selvstændigt
1037765,google
1037765,software
1037765,regnskab
1037765,marketing
1037765,risk-management
1037768,english
1037768,danish
1037768,business
1037768,economics
1037768,energy
1037768,accounting
1037770,økonomi
1037770,regnskab
1037770,organisationsstruktur
1037772,dansk
1037772,fysik
1037772,deep-learning
1037772,software
1037772,business
1037772,support
1037772,datalogi
1037772,machine-learning
1037772,data-science
1037772,engelsk
1037772,matematik
1037772,identificere-muligheder
1037772,business-intelligence
1037774,simulation
1037774,english
1037774,danish
1037774,business
1037774,economics
1037774,energy
1037774,finance
1037777,dansk
1037777,cyber-security
1037777,software
1037777,træffe-beslutninger
1037777,engelsk
1037777,c
1037777,arbejde-selvstændigt
1037777,java
1037777,.net
1037783,datamodeller
1037783,support
1037783,økonomistyring
1037783,data-science
1037783,business-intelligence
1037784,refrigerants
1037784,engineering
1037784,software
1037784,design
1037784,support
1037784,marketing
1037784,latin
1037784,testing
1037784,energi
1037785,3d
1037785,kommunikation
1037786,kommunikation
1037786,arbejdsmarked
1037791,windows
1037791,server
1037791,macos
1037791,english
1037791,work-independently
1037791,support
1037791,security
1037791,cisco
1037791,application-process
1037791,sql-server
1037797,kommunikation
1037797,prioritere-opgaver
1037797,chef
1037798,statistik
1037798,arbejde-selvstændigt
1037799,skype
1037799,arkivere-dokumenter
